The correlation n the number of crime events between two beats are as follows:
('0124-0331', 0.9999852845918142)
('1631-2535', 0.99997805677996)
('0411-1214', 0.9999735329025327)
('0512-0713', 0.9999514453097506)
('0522-1623', 0.9999389119975028)
('0423-0722', 0.9999248266790238)
('1931-1933', 0.9999199168347009)
('1925-2221', 0.9999184282681458)
('0722-2213', 0.9999164959797432)
('0532-1024', 0.9998896512726423)
('0822-1631', 0.999885818865984)
('0221-0835', 0.999875659714015)
('0222-2523', 0.9998706957508704)
('1034-1111', 0.9998632208782873)
('0524-1125', 0.9998600237716085)
('1412-1912', 0.9998242235246511)
('1231-1922', 0.9998131425958445)
('0714-0825', 0.9998041616279771)
('0822-2535', 0.9997986035180647)
('0531-2212', 0.9997975922647132)
('1124-1231', 0.999794686695193)
('0732-1524', 0.9997910042541011)
('0823-1524', 0.999789914727128)
('1634-2521', 0.9997864717161822)
('1732-2532', 0.9997815860855123)
('0511-0523', 0.9997725046462882)
('0431-1032', 0.9997712575245786)
('0433-1713', 0.9997694652906366)
('0332-0532', 0.9997665002145704)
('0423-2213', 0.9997631332739076)
('0811-1621', 0.9997574362883107)
('0113-0614', 0.9997541689573842)
('0726-2211', 0.9997506140100847)
('1933-2011', 0.9997485046793769)
('0212-0734', 0.9997482871455009)
('0513-0735', 0.99973325252837)
('1123-1622', 0.9997328629428729)
('0935-1633', 0.9997286871908784)
('1633-1824', 0.9997272910463841)
('1213-2514', 0.9997214023012558)
('0611-0825', 0.9997147797993754)
('1432-1612', 0.9997122811472366)
('0421-0734', 0.9997059361760687)
('0232-0713', 0.9997051753919305)
('0411-1132', 0.9997029071563317)
('0421-0735', 0.9996989035680146)
('0224-2521', 0.9996968370419159)
('0225-2031', 0.9996954593177683)
('1135-1231', 0.9996915017850092)
('0913-0932', 0.9996845069887214)
('1931-2011', 0.9996844579688886)
('0733-2011', 0.999667525805529)
('0133-2232', 0.9996657855575085)
('0221-0632', 0.9996631298892543)
('2524-2531', 0.9996620601997305)
('0734-0735', 0.9996501825744949)
('0421-1911', 0.9996389223093398)
('0323-0531', 0.999638459917702)
('1233-2024', 0.9996283858983315)
('0232-2212', 0.9996252894941127)
('0414-2232', 0.9996251747891294)
('1121-2233', 0.9996240174833301)
('0914-1013', 0.9996142188090772)
('0632-1125', 0.9996072978568566)
('0914-2024', 0.9996041379618189)
('0133-0414', 0.9995990786280237)
('0331-1022', 0.9995980425717456)
('1533-2222', 0.999597597435273)
('0232-0531', 0.9995904564364936)
('0613-1032', 0.9995893813049911)
('0513-0621', 0.999583365321836)
('0122-1935', 0.9995810389727585)
('0412-0923', 0.9995791268759063)
('0911-1611', 0.9995788355008107)
('0913-1722', 0.9995763420256609)
('0922-1215', 0.9995723349068063)
('1221-1523', 0.9995705035309661)
('0823-1432', 0.9995698961719942)
('0923-1422', 0.9995693647976709)
('0224-1634', 0.9995663336141904)
('0333-0624', 0.9995658699027498)
('0911-1413', 0.9995619719767822)
('1511-2233', 0.9995474020604512)
('0232-0512', 0.9995387266198186)
('0511-2011', 0.9995382289115311)
('0523-0724', 0.9995314429805491)
('0511-0724', 0.9995292007735632)
('1132-1214', 0.9995196186140548)
('0221-1125', 0.9995184322468216)
('0912-2031', 0.9995181770974039)
('1211-1823', 0.9995176020049774)
('0232-1733', 0.9995164067172522)
('0631-0731', 0.999513791041434)
('0412-0915', 0.9995074666480396)
('1232-2433', 0.9995040211375009)
('0124-1022', 0.9995011147101626)
('0724-1915', 0.9995007055977273)
('0122-1833', 0.9994966725792733)
('0513-1121', 0.9994935427843147)
('1124-1922', 0.9994823301501516)
('1412-1624', 0.9994821516239855)
('0511-1933', 0.9994782990956921)
('0324-2221', 0.9994780238879987)
('0812-1031', 0.9994771280578841)
('0214-2522', 0.9994711587167165)
('0424-2532', 0.9994661906224994)
('0511-1931', 0.9994541679565603)
('0213-1032', 0.9994514898470058)
('0513-0734', 0.9994508016895299)
('0715-1433', 0.999448989088033)
('1233-1811', 0.999448070334019)
('1121-1125', 0.9994386179341673)
('0213-0732', 0.9994353080126525)
('0511-1915', 0.9994324687646873)
('0924-1912', 0.9994316027009765)
('0332-1024', 0.9994290713889521)
('0812-2223', 0.9994226349209985)
('0212-0513', 0.9994197014833771)
('0621-0735', 0.9994175195629872)
('0811-2525', 0.999415464165189)
('0726-1412', 0.9994107367982846)
('0715-0733', 0.9994041490632776)
('0524-0632', 0.9994038572067976)
('0211-1022', 0.999403283431645)
('1421-1722', 0.9993998094047464)
('0224-1235', 0.9993994984828684)
('1614-1913', 0.999399250277354)
('0735-1121', 0.9993867597838976)
('1413-1611', 0.9993827881521127)
('0432-1722', 0.9993810442663137)
('0214-1532', 0.9993768053524239)
('0414-1524', 0.9993675321598297)
('0331-2413', 0.9993649133416219)
('0213-0431', 0.9993573672961162)
('1022-2413', 0.999356417620562)
('1624-1912', 0.9993516660391617)
('0621-0734', 0.999347029168512)
('0324-0423', 0.9993446845617285)
('1124-1135', 0.9993365630392522)
('0212-0724', 0.9993309018670715)
('0913-1421', 0.9993306766249415)
('0524-1121', 0.9993294538533416)
('0321-1211', 0.9993290187483002)
('1012-1811', 0.9993270201354753)
('0733-2515', 0.9993262244518728)
('0714-0734', 0.9993099554265129)
('0531-1733', 0.9993096986495098)
('0726-1624', 0.9993048118398558)
('1135-1733', 0.9993034356514694)
('1612-1923', 0.999300024534502)
('1723-2013', 0.9992997920672647)
('0121-2234', 0.9992954529018573)
('0323-0835', 0.999292671591921)
('0413-0634', 0.9992893103140744)
('0713-0725', 0.9992809461134089)
('0421-0714', 0.9992803672019138)
('0732-0823', 0.999277886700014)
('0613-2223', 0.9992769634844618)
('0222-0832', 0.9992765054171622)
('1614-2512', 0.999273983152057)
('0924-1123', 0.9992702011146807)
('0413-2213', 0.9992693204095581)
('1651-2223', 0.999262197482388)
('0211-0914', 0.9992618262474716)
('0822-1421', 0.9992614479292928)
('0932-1722', 0.9992593316632032)
('0634-0733', 0.9992587273514397)
('0212-0714', 0.9992547095081139)
('0133-0312', 0.9992536963049243)
('0414-0823', 0.9992488391763906)
('0414-0732', 0.9992434221099933)
('0613-1533', 0.9992424502301327)
('0935-1824', 0.9992422402865686)
('0632-0835', 0.999239899622143)
('1135-1922', 0.9992336614817706)
('0211-2024', 0.9992319472247679)
('1221-1421', 0.9992288665930109)
('0324-1925', 0.9992286010774084)
('0133-0224', 0.9992285103299455)
('1424-2534', 0.9992254121845233)
('0812-1533', 0.9992216497856451)
('0713-2212', 0.9992185547979222)
('0723-0732', 0.9992106996512614)
('0124-2413', 0.9992104321831293)
('0214-1823', 0.9992084027032897)
('0822-1722', 0.999203951423388)
('0323-1712', 0.9992001127933042)
('0613-2222', 0.999196987686115)
('0323-2212', 0.9991960348744254)
('0924-1622', 0.999193121080176)
('1231-1733', 0.9991916080697386)
('1234-1423', 0.9991910010576028)
('2011-2533', 0.9991904968431384)
('1131-1912', 0.9991889530031995)
('0733-2533', 0.9991828777584358)
('1512-1612', 0.9991803328982347)
('0221-0524', 0.9991786947535609)
('0412-1523', 0.9991774330694688)
('0523-1933', 0.9991764010329313)
('0713-1733', 0.9991758398400371)
('0224-2232', 0.9991748998386556)
('1125-2233', 0.9991723540910152)
('0611-0714', 0.9991711145789314)
('0413-0722', 0.9991648077107764)
('0723-1524', 0.9991643469843832)
('0512-2212', 0.9991639515989509)
('0533-0612', 0.9991622486077152)
('0324-0722', 0.9991594193817187)
('0212-0735', 0.9991578711946151)
('0714-2233', 0.9991526958642319)
('0424-0835', 0.9991464768329475)
('0511-2515', 0.9991463362416506)
('0424-1732', 0.9991449907495301)
('0323-0522', 0.999142046069952)
('0921-1612', 0.9991414590263331)
('1021-2423', 0.9991380082769282)
('2011-2515', 0.99913692109017)
('1134-1912', 0.9991357987143836)
('0223-2413', 0.9991324588595561)
('0213-0423', 0.9991289951671739)
('0312-0524', 0.9991286136737642)
('0725-1231', 0.9991277209989445)
('0631-1012', 0.9991242893636011)
('0823-1612', 0.9991134441703161)
('0924-1412', 0.9991128476536998)
('1033-1212', 0.9991045696747594)
('0813-1624', 0.9991037546551705)
('1221-1225', 0.9991016194545258)
('1654-2514', 0.9991007106422984)
('1931-2533', 0.9990974713329871)
('1933-2533', 0.9990953553156012)
('1831-2422', 0.9990905622887416)
('0213-1524', 0.9990888320079861)
('0212-0621', 0.999083312479183)
('0522-0531', 0.9990825632681357)
('1733-1922', 0.999082420590699)
('1434-1532', 0.9990803148865626)
('0522-1733', 0.9990731887162332)
('0723-0823', 0.9990715651997568)
('0211-1233', 0.9990695354074532)
('1011-1024', 0.9990667071928014)
('1123-1511', 0.9990666587367246)
('0711-0722', 0.9990644584614897)
('0324-2412', 0.9990633674207087)
('2232-2521', 0.999062601711174)
('1915-2515', 0.9990598646028269)
('0723-1923', 0.999051597374412)
('0423-0431', 0.9990404900097425)
('0213-0722', 0.9990402534641213)
('0734-1911', 0.9990384759517702)
('1934-2413', 0.9990382570779643)
('1431-1532', 0.9990366825428468)
('0212-0421', 0.9990364761871768)
('0421-0513', 0.999033310399296)
('0523-1931', 0.9990312157719008)
('0324-2213', 0.9990310456698341)
('1533-2223', 0.9990285321860595)
('0735-1911', 0.9990257426267848)
('0835-1125', 0.9990241017655723)
('1134-1412', 0.9990204036363182)
('0725-1733', 0.9990196414228114)
('1512-1923', 0.9990095390568545)
('0814-1433', 0.9990094232972523)
('0433-1033', 0.9990050544380429)
('1434-2522', 0.9990019567379046)
('1631-1722', 0.9990008856351744)
('1513-1522', 0.9990002238444463)
('0523-1915', 0.998999064146239)
('0512-0725', 0.9989929719979181)
('0734-0825', 0.9989925497886826)
('0834-1215', 0.9989902084306914)
('0733-1931', 0.9989857799046102)
('0133-1235', 0.9989854424285957)
('0133-2521', 0.9989853148515242)
('0724-1011', 0.9989852854475092)
('1225-1421', 0.9989852440016739)
('0735-1125', 0.9989809118333348)
('0412-1422', 0.998978467226549)
('0923-1823', 0.9989775026503438)
('0524-0735', 0.9989733704103456)
('0513-1135', 0.9989712532799)
('0835-1712', 0.9989701394919791)
('0123-2433', 0.9989668715416327)
('0725-1922', 0.9989648148813658)
('2221-2412', 0.9989635741982784)
('0232-0522', 0.9989569745459894)
('0223-0623', 0.9989558960271315)
('0331-1811', 0.9989550547138321)
('1213-2534', 0.9989531202481767)
('2524-2535', 0.9989490876535047)
('0613-1223', 0.998949040046411)
('1023-2221', 0.9989479561030583)
('0614-1724', 0.9989462805217235)
('0914-1022', 0.9989447999678694)
('0612-0621', 0.9989430738567663)
('0431-0613', 0.9989403276451781)
('0221-0424', 0.9989392153990962)
('0212-0825', 0.998937346323148)
('1733-2212', 0.9989341957838799)
('0231-1124', 0.9989298902102048)
('0213-1433', 0.9989293826037381)
('0733-1933', 0.9989277254190915)
('0421-2233', 0.9989234911876524)
('1621-2525', 0.9989234757558516)
('0333-2213', 0.9989217894851263)
('1131-1134', 0.9989212647868859)
('0123-1232', 0.9989207654319643)
('1722-2535', 0.9989187169797078)
('0214-1434', 0.9989173772519959)
('0421-1121', 0.998917258961504)
('0324-0333', 0.9989124988286299)
('1213-1654', 0.9989115759948395)
('0533-1132', 0.9989033431769754)
('0231-1411', 0.9988995028604601)
('0423-0711', 0.9988993701135072)
('1034-1611', 0.9988987004171938)
('0221-0323', 0.9988977580718884)
('1111-1611', 0.998897030020265)
('0612-0711', 0.9988966655312743)
('0211-0331', 0.9988962779515005)
('0222-1911', 0.9988914710403238)
('0324-0711', 0.9988908492219427)
('1121-1135', 0.9988888138373718)
('0124-1811', 0.9988838404505475)
('0523-2011', 0.998880212280399)
('2031-2514', 0.9988800556528556)
('0723-1512', 0.9988715117848926)
('1033-1732', 0.9988699714123226)
('0734-1121', 0.9988656790793591)
('0212-1121', 0.9988638107646975)
('1033-1713', 0.9988605244158567)
('1412-2211', 0.9988564808609675)
('1221-1532', 0.9988452876788104)
('0915-1614', 0.998841426821772)
('0131-1413', 0.9988411461549268)
('0914-1233', 0.9988408882407076)
('0232-0323', 0.9988407732337496)
('0735-1235', 0.9988365247693901)
('0411-0533', 0.9988316507247803)
('0225-0912', 0.9988238542030591)
('0531-0713', 0.9988236426533009)
('0723-1533', 0.998822868126878)
('0211-1811', 0.9988220163094726)
('0533-1214', 0.9988216369174403)
('0726-1912', 0.9988207544792429)
('0522-0813', 0.9988194660745219)
('1925-2412', 0.9988133688749289)
('0531-1712', 0.9988126353221737)
('0726-1134', 0.9988117462819901)
('0323-1623', 0.9988116453421186)
('1221-1823', 0.9988093999452835)
('1653-1731', 0.9988085541535281)
('0421-0825', 0.998806736184242)
('0724-2515', 0.9988049273210647)
('0522-1922', 0.9988027951225358)
('1524-2232', 0.998802509882374)
('1131-1624', 0.9988009403530922)
('2222-2223', 0.9987995920011777)
('0621-1235', 0.9987991859951267)
('1114-1414', 0.9987988184815587)
('1833-1935', 0.998798468893427)
('1023-1925', 0.9987972331422243)
('0234-1411', 0.9987963951258252)
('1432-1524', 0.9987936974114179)
('0212-1011', 0.9987908936563934)
('0524-0531', 0.9987901935013473)
('0423-2412', 0.9987886510370517)
('0832-2523', 0.9987886153373708)
('0813-1922', 0.9987883553684599)
('0735-2233', 0.9987870955238106)
('1614-1923', 0.9987870457485111)
('1422-1432', 0.9987841141709831)
